star,comment,lable
1,"乌鸡鲅鱼，应该是近年最差的a级商业制作，我甚至要为同样很烂的第八部和外传道歉。
曾经的“没事飙车把妹、有事跑路逃亡”的小人物心理厚重感荡然无存，怎么也死不掉的当代超人设定彻底抛弃了逻辑和真实。无处不在的装逼煽情和言之无物的陈词滥调带来了太多的垃圾时间，多线叙事彻底搞崩节奏，更没有人会在意狗血的家庭纠纷——毕竟不管多么穷凶极恶的人最后都会变成family的一员，以前悲情地死得透透的人也能潇洒归来。如果说之前对动作场面还存有一丝期待的话，那么很不幸，林诣彬用无休止的轰鸣配乐、爆炸音效和推到脸上的大特写与快剪辑摇镜头击溃了我最后一道心理防线。这年头动作片的反派和杂兵只有被耍得团团转的份，甚至卫星都能被不计算轨道的汽车毫发无伤地撞下来——下一部不整出来个开着擎天柱入侵地球的河外星系人种，我才不看。",0
2,这9为了速度而速度，为了激情而激情，为了搞笑而搞笑，一点逻辑也没有了，你咋不拍成科幻片呢？失去盖尔加朵，杰森 ，巨石，唯一看头在哪啊？我觉得这电影名应该改了叫（哎，就是死不了，哎，就是玩）,0
1,某成龙耀莱影城看了一场巨幕厅，银幕黑到昏天暗地，这种垃圾影厅里看，真不如在家看4K碟。这种无脑无逻辑的剧情，睡一觉座椅都卡的脖子疼。,0
1,编剧把我们智商按在地上摩擦，太特么扯淡了,0
2,他们为何刀枪不入？他们为何死而复生？因为他们是一家人…比难看更可怕的，是无聊。,0
3,花重金把全世界枪法最差的特工和军队凑在一起干坏事也怪不容易的。,0
3,汽车撞卫星，卡车撞飞机…牛顿的棺材板都快弹飞了吧。,0
4,我觉得作为爆米花??电影是合格的，你们期望太高了吧,1
3,有一天他们真的上了天，但是却再也刺激不起我的嗨点。,0
1,好久没看过这么离谱的片子了，真是佩服这个想象力，绝了,0
4,爽片就是爽片，作为爽片合格,1
2,速度与激情9看的好尴尬，尤其前半部分。我总共在影院里看了两个公众号文章，喝了一瓶矿泉水，上了两趟厕所，回了回同事朋友的微信，抬头看到影片里两位黑人哥们开着改良轿车脱离地球登上了太空撞卫星，略感惊讶，发出了一声嘲笑的“嗤”。剩下的情节就是砰砰砰轰轰轰。。。到底为了啥打从头到尾我也没搞清楚,0
2,4.5/10，哈哈哈，连编剧都在自嘲笔下的人物都是不死之身了，视觉上的审美疲劳下虽然偶有惊喜，但剧情上的拉扯和不讲逻辑让整个片子看起来特别有种抗日神剧的既视感，细节上bug太多且经不起推敲，现在哪个系列不上个太空都不配叫大片了…,0
1,进行到第9集，主角突然冒出一位做间谍的反派兄弟，为了让人相信，还安插了青年岁月。交代前史故事要有依有据，只有在观众看不到简单答案的前提下（比如《夺宝奇兵3》里疤痕、辫子、毡帽和怕蛇的由来），前史才是有趣的补充。任何足以引起人们兴趣的角色，都依赖于神秘色彩而变得有趣。前传的功能恰巧是消除这种神秘色彩，一味为了迎合新故事而做的所谓前史，往往会使经典角色开始贬值。 整体上，角色们都开启了“上帝不死模式”，公路上的戏让我以为自己在看《信条》，甚至最后还上了太空，太扯了。,0
1,"乌鸡鲅鱼，应该是近年最差的a级商业制作，我甚至要为同样很烂的第八部和外传道歉。
曾经的“没事飙车把妹、有事跑路逃亡”的小人物心理厚重感荡然无存，怎么也死不掉的当代超人设定彻底抛弃了逻辑和真实。无处不在的装逼煽情和言之无物的陈词滥调带来了太多的垃圾时间，多线叙事彻底搞崩节奏，更没有人会在意狗血的家庭纠纷——毕竟不管多么穷凶极恶的人最后都会变成family的一员，以前悲情地死得透透的人也能潇洒归来。如果说之前对动作场面还存有一丝期待的话，那么很不幸，林诣彬用无休止的轰鸣配乐、爆炸音效和推到脸上的大特写与快剪辑摇镜头击溃了我最后一道心理防线。这年头动作片的反派和杂兵只有被耍得团团转的份，甚至卫星都能被不计算轨道的汽车毫发无伤地撞下来——下一部不整出来个开着擎天柱入侵地球的河外星系人种，我才不看。",0
4,"年度最佳爽片！！！！每一秒都是能燃起肾上腺素的超级编排，真的不愧对于2亿美元级别的投资，林导演真的把这个系列给玩透了。
虽然扯也是真的扯，最后弟弟跑了也是真的有点问题，可是真的，爽到炸！！！",1
3,花重金把全世界枪法最差的特工和军队凑在一起干坏事也怪不容易的。,0
1,某成龙耀莱影城看了一场巨幕厅，银幕黑到昏天暗地，这种垃圾影厅里看，真不如在家看4K碟。这种无脑无逻辑的剧情，睡一觉座椅都卡的脖子疼。,0
1,编剧把我们智商按在地上摩擦，太特么扯淡了,0
2,范·迪塞尔，全球最没有魅力的大IP男主。,0
1,好久没看过这么离谱的片子了，真是佩服这个想象力，绝了,0
4,难得和豆瓣反指标，我看得很爽,1
1,为什么我要浪费2个多小时来看个垃圾。剧情全无，逻辑全无，笑点老土，人物关系混乱，台词承接生硬，不尊重科技，不尊重观众，不尊重曾经的口碑,0
1,"上一部鱼雷 这一部太空，蛮会做梦的……不知道这帮人还记不记得当初自己都只不过街头混混而已，现在一个个都赶上特工间谍了……
好莱坞续集片最烂大街的强行补血套路：“凭空跳出来个兄弟”&“复活死人”本片全占……所有角色的重聚互动基本都把“虚情假意”体现得淋漓尽致，那对反目的兄弟更搞笑了，前一分钟千仇万恨、后一分钟相亲相爱……当然，也不能指望这种成人无脑爽片文戏要达到怎样的厚度，这批演员都不过打工人打工魂 恰饭而已，大家逢场作戏聚一聚拍个片拿完钱各奔东西罢了，要啥自行车哦？",0
2,不带脑子也挺让人犯困的,0
3,汽车撞卫星，卡车撞飞机…牛顿的棺材板都快弹飞了吧。,0
2,少了布莱恩，再怎么天天叨逼叨family也是貌合神离…,0
2,"动作戏很多，节奏挺紧凑，就是无脑到令人发指，地球已经容纳不下这个伐么累了，上天吧。
精彩场面都在预告片里了。",0
2,过度动作片化后就像一出滑稽闹剧，NASA估计要吐血。如果死人也能复活，请给我复活Paul Walker！！！！！,0
2,"这波演员导演制作人全都放弃了吧，观感就两个字：敷衍。
赵喜娜，随便就登场了，随便穿插几次回忆人设就丰满了，富二代随便一动心思又xb了。玩呢？
韩，我说你活你就活，你就是为了我们放出预告片让观众提起兴趣的工具人，正片没你啥事。不，也许你不活后面不好让女侠进来。
飙车，每部都搔首弄姿的女裁判也就随便挥挥手，糊弄完事儿。
kdb，嗯，你高兴就好。
关于所有人无论如何都不会受伤这件事，官方就这么吐个槽拍板了？
塞隆，老娘出场就跟傻二代聊聊星战？
范光头，全程便秘脸。
上太空，竟然因为其他无语的原因无视了。
大场面，就一路引力杀到底，真就预告片最精彩啊。
结尾，你还真又开派对啊？
（吐槽未完，想到再补）
打了半天字儿，把三星改成两星吧，为了看这部还买了个3d眼镜，挺心疼。",0
3,有一天他们真的上了天，但是却再也刺激不起我的嗨点。,0
2,一部刺激动作片还能给我看困了，感觉像80年代无厘头科幻喜剧，跟成龙电影的区别就是广告牌没有把坏蛋撞倒。高科技部分有点扯，力的作用是相互的，凭什么是你弹别人不是别人弹你，牛顿的棺材板快压不住了。,0
3,全部换成印度演员，再来点尬舞，拍成喜剧也比这强。,0
1,果然不负众望，继续糟蹋情怀！,0
3,"很难说这是什么类型片，动作片？科幻片？超英片？

这么一群人 子弹打不死 导弹射不死 摔也摔不死 上天入地无所不能

对于我这种没情怀的人来说，算是味同嚼蜡",0
2,过度透支自己，已经出现征兆，总会在这样的大爽片过程中睡着。还好这次故事基本明白，反正就是没逻辑没道理不沾灰的无敌英雄吧,0
2,你咋不上天呢？好的，我这就上天,0
3,无脑飙车打斗戏…主角不死就算了，开场和结尾居然都是逗比二人组不死，“简直是侮辱我的智商”…前半部分基本是在不断复活小伙伴组队，后半部分就是大家一起玩磁铁?弟弟妹妹从打得不可开交到一家亲，大概只需要弟弟被坏人抛弃一场戏？“我家不成器弟弟只有我自己能打。”,0
1,第7部后，就向烂尾快速飙进,0
1,汽车上太空，问过马斯克了么？！速度与激情？都成特工间谍复联了吧？整个看下来跟闹着玩似得，韩死而复活有啥必要？片尾彩蛋就是告诉你还有10，韭菜还得继续割，要不都对不起这么多续集，一直拍到唐老大的儿子，孙子，子子孙孙无穷尽也！,0
3,"1，首先，磁铁车的创意不错。继第五部的铁链拉箱后，虽然续集一直不停地砸大钱拍大场面，但都没有拉箱子带给人的那种眼前一亮的感觉。本片做到了。
2，虽然不想让韩复活，但复活的理由写得还挺好。既能自圆其说又能融入到剧情中，成为影片的重要信息。
3，线索太多，很多情感戏都太杂太多余。比如光头和莱娅，以前也看不出这么肉麻。突然给他们加狗粮，搞得我还以为结局要死一个呢。此外，每个角色，随便哪个配角都有一堆故事，导致支线太多，把主线的存在感冲淡了。
4，兄弟俩不合是意料之中，合了也是意料之中。但关键是理由没有说服力。仅仅是不想尾随其后，弟弟就这么恨哥哥？说服力不足。杀了父亲，这个理由说服力又太强，导致洗白困难。而且最后的洗白确实很生硬。
5，为什么这次的字幕是白色宋体？而且字号还那么小。看不清。",0
3,主角光环强大的令人无可奈何了，《速度与激情》迟早会并入漫威的超级英雄系列；we are family卖情怀制胜法真·宇宙第一定律。,0
2,一部很不错的魔幻现实喜剧片。,0
2,"拍成这样就有点考验我的智商了，林诣彬怀旧怀的真的太多了，极大地挑战观众对前几部的记忆，开头还挺好的，但是伐木累的这些闪回前前后后居然占了一个多小时的文戏，新人物戏份讲不清老人物又争先恐后地混熟脸，看的好累人啊，还不如《特别行动》，远不如。重大更新：解决了外太空开车技术难题。
还有求求了：别再消费保罗沃克了。我心目中布莱恩的退隐绝对不该是这样，该是他远离过去的一切生活，平静养老，而不是他的妻子在开车他在家看小孩，不是他来参加家宴，我们看到了他的车，他的背影，但是就是看不见那张脸。",0
3,真的不能带脑子看，否则只会把自己气死。这个系列完结后范·迪塞尔也该退休了吧，反正他拍的其他电影也没几个人看。,0
4,虽然很扯，但有动作戏真的挺好看的，最喜欢一群美女的那一段,1
3,眼睁睁看着这个系列内容从赛车变成了拯救世界，主角团队从街头小混混变成了民间特种部队，车子从用来开的变成用来飞的，除了感叹一句牛逼还能说啥呢。给你们一辆车就能上天入地，超级英雄都没你们这么厉害好吗。既然把韩给复活了，有本事把保罗沃克和盖尔加朵也一起复活了啊。,0
2,素鸡10：宇宙大冒险，素鸡11：目标塞伯坦，素鸡12：汽车人起源……讲真，下一部不开启“新TF宇宙”，恐怕是很难收场了！走，我们一起去扯宇宙的淡~~~哈哈哈哈哈哈哈 We are 伐木累！,0
4,就有点扯淡 但是里面的女人可以把我?死,1
3,了解我的同学都知道自己头像用了10年没有换过，而主角正是速度与激情的男主范迪塞尔，这个系列的影片也从头至尾贯穿了我的整个青春，关于影片本身我不想做过多评价，因为每个人心中的意义不同感触也就不同，但是还是要赞一下IMAX的观影感受，科技力量所带来的成果果然有多重加分，建议大家有机会的话还是要去体验一下这种感官冲击所带来的饱满的真实。,0
2,就这彩蛋的意思，还有第十部？,0
2,是一部贝索斯看了会流泪，牛顿看了会震惊的电影。不得不说编剧脑洞太大了，相比这个物理原理，区区一个死人复活已经不算什么了我感觉。,0
3,勉强三星，观感不如强森的外传。这个系列做到第9部了，对路人观众不太友好肯定是必然的结果。作为老粉还是会有一些很感动的点吧，包括韩的复活，即使理智上觉得太扯，心里还是有点开心的。文戏拉垮，大场面虽然无脑但还算有创意玩得过瘾，回归的林诣彬也用闪回找回了很多这个系列最初让人喜爱的街头元素。所谓爱的深也骂得切，希望下一部会是一个圆满的终点吧。,0
2,唯一好看的是《速度与激情3》正统延续部分以及赵喜娜、黑人组。一个20年的系列了，居然连爽片都不会拍。时不时都得看唐老大的爹没了，剪辑太稀碎了。动作场面更是僵化，开场荒野飙车像自家外传；翘车更不用说了，《死侍2》那段更爽，而且处处充斥着速激5的味儿。速激再不想办法超脱出family，只能被自己拖累。（别cue保罗了，好吗？）,0
1,中有陈思诚，美有文迪索。,0
1,救命，快进看完都是在浪费生命。还找了3的演员客串，真是侮辱东京漂移了,0
1,一看片尾 居然有三个剪辑 服了,0
1,零分。不出所料，离谱到家了，没再为这个系列掏钱去影院是绝对正确的选择。从街头玩地下竞速到现在成了拯救地球 上天入地 无所不能还有着不死之身的超级英雄，无数次非人类级别的死里逃生，各种违背物理逻辑的反人类操作。范光头怒吼的那一下我直接笑喷了，这就是你职业生涯的最好“表演”吗？,0
2,对不起30元票价，如果19.9我勉强接受是三颗星爆米花电影。不过这系列电影配乐都挺好听的。有一幕俩女配角在东京点了俩碗拉面，结果俩人光说话，一根面也没吃?，真令人难受。,0
1,你一开车的说那么多干嘛。作为观众，我和剧中人物有一样的疑惑，这些货早该死了，怎么一直摸爬滚打还能活下来??,0
